Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON,5-Year Moving Avg,Month,Monthly_Temp_anomaly,Seasonal_Temp_anomaly,Season_Spring,Season_Summer,Season_Winter,Lag_1,Lag_2,Lag_3,Rolling_3,Rolling_6,Month_sin,Month_cos
2015,0.87,0.9,0.96,0.75,0.8,0.81,0.73,0.79,0.84,1.07,1.06,1.17,0.1162790697674418,0.0444444444444445,0.1666666666666665,0.0624999999999997,0.0,0.263157894736842,0.9,2,0.9,0.84,True,False,False,0.1162790697674418,0.1162790697674418,0.1162790697674418,0.1162790697674418,0.1162790697674418,0.8660254037844386,0.5000000000000001
2015,0.87,0.9,0.96,0.75,0.8,0.81,0.73,0.79,0.84,1.07,1.06,1.17,0.1162790697674418,0.0444444444444445,0.1666666666666665,0.0624999999999997,0.0,0.263157894736842,0.9,2,0.9,0.78,False,True,False,0.1162790697674418,0.1162790697674418,0.1162790697674418,0.1162790697674418,0.1162790697674418,0.8660254037844386,0.5000000000000001
2015,0.87,0.9,0.96,0.75,0.8,0.81,0.73,0.79,0.84,1.07,1.06,1.17,0.1162790697674418,0.0444444444444445,0.1666666666666665,0.0624999999999997,0.0,0.263157894736842,0.9,2,0.9,0.99,False,False,False,0.1162790697674418,0.1162790697674418,0.1162790697674418,0.1162790697674418,0.1162790697674418,0.8660254037844386,0.5000000000000001
2015,0.87,0.9,0.96,0.75,0.8,0.81,0.73,0.79,0.84,1.07,1.06,1.17,0.1162790697674418,0.0444444444444445,0.1666666666666665,0.0624999999999997,0.0,0.263157894736842,0.9,3,0.96,0.85,False,False,True,0.1162790697674418,0.1162790697674418,0.1162790697674418,0.1162790697674418,0.1162790697674418,1.0,6.123233995736766e-17
2015,0.87,0.9,0.96,0.75,0.8,0.81,0.73,0.79,0.84,1.07,1.06,1.17,0.1162790697674418,0.0444444444444445,0.1666666666666665,0.0624999999999997,0.0,0.263157894736842,0.9,3,0.96,0.84,True,False,False,0.1162790697674418,0.1162790697674418,0.1162790697674418,0.1162790697674418,0.1162790697674418,1.0,6.123233995736766e-17
2015,0.87,0.9,0.96,0.75,0.8,0.81,0.73,0.79,0.84,1.07,1.06,1.17,0.1162790697674418,0.0444444444444445,0.1666666666666665,0.0624999999999997,0.0,0.263157894736842,0.9,3,0.96,0.78,False,True,False,0.1162790697674418,0.1162790697674418,0.1162790697674418,0.1162790697674418,0.1162790697674418,1.0,6.123233995736766e-17
2015,0.87,0.9,0.96,0.75,0.8,0.81,0.73,0.79,0.84,1.07,1.06,1.17,0.1162790697674418,0.0444444444444445,0.1666666666666665,0.0624999999999997,0.0,0.263157894736842,0.9,3,0.96,0.99,False,False,False,0.1162790697674418,0.1162790697674418,0.1162790697674418,0.1162790697674418,0.1162790697674418,1.0,6.123233995736766e-17
2015,0.87,0.9,0.96,0.75,0.8,0.81,0.73,0.79,0.84,1.07,1.06,1.17,0.1162790697674418,0.0444444444444445,0.1666666666666665,0.0624999999999997,0.0,0.263157894736842,0.9,4,0.75,0.85,False,False,True,0.1162790697674418,0.1162790697674418,0.1162790697674418,0.1162790697674418,0.1162790697674418,0.8660254037844387,-0.4999999999999998
2015,0.87,0.9,0.96,0.75,0.8,0.81,0.73,0.79,0.84,1.07,1.06,1.17,0.1162790697674418,0.0444444444444445,0.1666666666666665,0.0624999999999997,0.0,0.263157894736842,0.9,4,0.75,0.84,True,False,False,0.1162790697674418,0.1162790697674418,0.1162790697674418,0.1162790697674418,0.1162790697674418,0.8660254037844387,-0.4999999999999998
2015,0.87,0.9,0.96,0.75,0.8,0.81,0.73,0.79,0.84,1.07,1.06,1.17,0.1162790697674418,0.0444444444444445,0.1666666666666665,0.0624999999999997,0.0,0.263157894736842,0.9,4,0.75,0.78,False,True,False,0.1162790697674418,0.1162790697674418,0.1162790697674418,0.1162790697674418,0.1162790697674418,0.8660254037844387,-0.4999999999999998
2015,0.87,0.9,0.96,0.75,0.8,0.81,0.73,0.79,0.84,1.07,1.06,1.17,0.1162790697674418,0.0444444444444445,0.1666666666666665,0.0624999999999997,0.0,0.263157894736842,0.9,4,0.75,0.99,False,False,False,0.1162790697674418,0.1162790697674418,0.1162790697674418,0.1162790697674418,0.1162790697674418,0.8660254037844387,-0.4999999999999998
2015,0.87,0.9,0.96,0.75,0.8,0.81,0.73,0.79,0.84,1.07,1.06,1.17,0.1162790697674418,0.0444444444444445,0.1666666666666665,0.0624999999999997,0.0,0.263157894736842,0.9,5,0.8,0.85,False,False,True,0.1162790697674418,0.1162790697674418,0.1162790697674418,0.1162790697674418,0.1162790697674418,0.49999999999999994,-0.8660254037844387
2015,0.87,0.9,0.96,0.75,0.8,0.81,0.73,0.79,0.84,1.07,1.06,1.17,0.1162790697674418,0.0444444444444445,0.1666666666666665,0.0624999999999997,0.0,0.263157894736842,0.9,5,0.8,0.84,True,False,False,0.1162790697674418,0.1162790697674418,0.1162790697674418,0.1162790697674418,0.1162790697674418,0.49999999999999994,-0.8660254037844387
2015,0.87,0.9,0.96,0.75,0.8,0.81,0.73,0.79,0.84,1.07,1.06,1.17,0.1162790697674418,0.0444444444444445,0.1666666666666665,0.0624999999999997,0.0,0.263157894736842,0.9,5,0.8,0.78,False,True,False,0.1162790697674418,0.1162790697674418,0.1162790697674418,0.1162790697674418,0.1162790697674418,0.49999999999999994,-0.8660254037844387
